word	ipa	word_pred	sent_pred	is_word_wrong	is_sent_wrong
0	워프를	wʌpʰɯrɯɭ	wʌpʰɯrɯɭ	wʌpʰɯrɯɭ	True	True
1	하고	hago	hago	hago	True	True
2	그럼에도	gɯrʌmedo	gɯrʌmedo	gɯrʌmedo	True	True
3	불구하고	buɭguhago	buɭguhago	buɭguhago	True	True
4	스타트렉에서	sɯtʰatʰɯregesʌ	sɯtʰatʰɯregesʌ	sɯtʰatʰɯregesʌ	True	True
5	인류가	iɭʎ̟juga	iɭʎ̟juga	iɭʎ̟juga	True	True
6	또	tʼo	tʼo	tʼo	True	True
7	인류와	iɭʎ̟juwa	iɭʎ̟juwa	iɭʎ̟juwa	True	True
8	주변에	ʣubjʌne	ʣubjʌne	ʣubjʌne	True	True
9	그	gɯ	gɯ	gɯ	True	True
10	페더레이션이라고	pʰedʌreisjʌɲirago	pʰedʌreisjʌɲira	pʰedʌreisjʌɲira	False	False
11	하는	hanɯ	hanɯn	hanɯn	False	False
12	인류의	ɲiɭʎ̟jue	iɭʎ̟jue	iɭʎ̟jue	False	False
13	연방	jʌnbaŋ	jʌnbaŋ	jʌnbaŋ	True	True
14	은하	ɯnha	ɯnha	ɯnha	True	True
15	연방이	jʌnbaŋi	jʌnbaŋi	jʌnbaŋi	True	True
16	포괄하는	pʰogwaɭhanɯn	pʰogwaɭhanɯn	pʰogwaɭhanɯn	True	True
17	영역이	ɲjʌŋjʌgi	jʌŋjʌgi	jʌŋjʌgi	False	False
18	은하계의	ɯnhagʲee	ɯnhagʲee	ɯnhagʲee	True	True
19	사	sa	sa	sa	True	True
20	분의	bune	bune	bune	True	True
21	일밖에	iɭbakʼe	iɭbakʼe	iɭbakʼe	True	True
22	우리	uriɯnhae	uri	uri	False	False
23	은하에	sa	ɯnhae	ɯnhae	False	False
24	사	bune	sa	sa	False	False
25	분의	iɭbakʼe	bune	bune	False	False
26	일밖에	an	iɭbakʼe	iɭbakʼe	False	False
27	안돼요.	dwɛjo̞	an	andwɛjo̞	False	False
